sample,coverage,Ntags
P29/P29.ppun.cov.hist,70x,0
P2/P2.ppun.cov.hist,70x,167
P31/P31.ppun.cov.hist,70x,5
P32/P32.ppun.cov.hist,70x,7
P33/P33.ppun.cov.hist,70x,115
P34/P34.ppun.cov.hist,70x,134
P35/P35.ppun.cov.hist,70x,0
P36/P36.ppun.cov.hist,70x,14
P37/P37.ppun.cov.hist,70x,3
P38/P38.ppun.cov.hist,70x,73
P39/P39.ppun.cov.hist,70x,0
P3/P3.ppun.cov.hist,70x,165
P40/P40.ppun.cov.hist,70x,0
P41/P41.ppun.cov.hist,70x,0
P42/P42.ppun.cov.hist,70x,0
P43/P43.ppun.cov.hist,70x,12
P44/P44.ppun.cov.hist,70x,0
P45/P45.ppun.cov.hist,70x,80
P46/P46.ppun.cov.hist,70x,19
P47/P47.ppun.cov.hist,70x,0
P48/P48.ppun.cov.hist,70x,0
P49/P49.ppun.cov.hist,70x,0
P4/P4.ppun.cov.hist,70x,93
P50/P50.ppun.cov.hist,70x,1
P51/P51.ppun.cov.hist,70x,1
P52/P52.ppun.cov.hist,70x,99
P53/P53.ppun.cov.hist,70x,7
P54/P54.ppun.cov.hist,70x,0
P55/P55.ppun.cov.hist,70x,32
P56/P56.ppun.cov.hist,70x,0
P57/P57.ppun.cov.hist,70x,0
P5/P5.ppun.cov.hist,70x,2
P6/P6.ppun.cov.hist,70x,5
P7/P7.ppun.cov.hist,70x,0
P8/P8.ppun.cov.hist,70x,9
P9/P9.ppun.cov.hist,70x,0
P10/P10.ppun.cov.hist,80x,1
P11/P11.ppun.cov.hist,80x,0
P12/P12.ppun.cov.hist,80x,2
P13/P13.ppun.cov.hist,80x,6
P14/P14.ppun.cov.hist,80x,0
P15/P15.ppun.cov.hist,80x,1
P16/P16.ppun.cov.hist,80x,0
P17/P17.ppun.cov.hist,80x,0
P18/P18.ppun.cov.hist,80x,37
P19/P19.ppun.cov.hist,80x,0
P1/P1.ppun.cov.hist,80x,6
P20/P20.ppun.cov.hist,80x,7
P21/P21.ppun.cov.hist,80x,156
P22/P22.ppun.cov.hist,80x,0
P23/P23.ppun.cov.hist,80x,0
P24/P24.ppun.cov.hist,80x,0
P25/P25.ppun.cov.hist,80x,22
P26/P26.ppun.cov.hist,80x,0
P27/P27.ppun.cov.hist,80x,3
P28/P28.ppun.cov.hist,80x,3
P29/P29.ppun.cov.hist,80x,0
P2/P2.ppun.cov.hist,80x,119
P31/P31.ppun.cov.hist,80x,3
P32/P32.ppun.cov.hist,80x,3
P33/P33.ppun.cov.hist,80x,82
P34/P34.ppun.cov.hist,80x,107
P35/P35.ppun.cov.hist,80x,0
P36/P36.ppun.cov.hist,80x,7
P37/P37.ppun.cov.hist,80x,2
P38/P38.ppun.cov.hist,80x,46
P39/P39.ppun.cov.hist,80x,0
P3/P3.ppun.cov.hist,80x,116
P40/P40.ppun.cov.hist,80x,0
P41/P41.ppun.cov.hist,80x,0
P42/P42.ppun.cov.hist,80x,0
P43/P43.ppun.cov.hist,80x,5
P44/P44.ppun.cov.hist,80x,0
P45/P45.ppun.cov.hist,80x,66
P46/P46.ppun.cov.hist,80x,11
P47/P47.ppun.cov.hist,80x,0
P48/P48.ppun.cov.hist,80x,0
P49/P49.ppun.cov.hist,80x,0
P4/P4.ppun.cov.hist,80x,65
P50/P50.ppun.cov.hist,80x,1
P51/P51.ppun.cov.hist,80x,0
P52/P52.ppun.cov.hist,80x,62
P53/P53.ppun.cov.hist,80x,3
P54/P54.ppun.cov.hist,80x,0
P55/P55.ppun.cov.hist,80x,15
P56/P56.ppun.cov.hist,80x,0
P57/P57.ppun.cov.hist,80x,0
P5/P5.ppun.cov.hist,80x,0
P6/P6.ppun.cov.hist,80x,1
P7/P7.ppun.cov.hist,80x,0
P8/P8.ppun.cov.hist,80x,3
P9/P9.ppun.cov.hist,80x,0
